"","ID_Point","Latitude","Longitude","Name","Description","Rich","sub9","Name_fish","Year_sampling","LUyear0.sub9","LUyear0.mont","Duration_70","Duration_50","Duration_30","NanosLU"
"P0740","P0740",-22.170194,-54.136111,"Pt71","fish_Cerrado_MS3",10,44,"P0740",2016,93.70910585,93.51460222,31,31,31,31
"P0742","P0742",-22.487917,-54.351694,"Pt73","fish_Cerrado_MS3",5,41,"P0742",2016,92.34692954,93.87019231,31,31,31,31
"P0744","P0744",-22.095778,-55.269361,"Pt75","fish_Cerrado_MS3",9,62,"P0744",2016,83.3052492,70.72525684,23,31,31,31
"P0745","P0745",-22.238167,-53.9495,"Pt76","fish_Cerrado_MS3",7,43,"P0745",2016,90.46069514,94.26855895,31,31,31,31
"P0747","P0747",-22.351472,-53.930222,"Pt78","fish_Cerrado_MS3",25,42,"P0747",2016,87.80942046,99.20535341,31,31,31,31
"P0748","P0748",-22.561361,-53.983342,"Pt79","fish_Cerrado_MS3",4,29,"P0748",2016,88.53951465,87.10368535,29,31,31,31
"P0750","P0750",-22.749417,-54.028389,"Pt81","fish_Cerrado_MS3",8,28,"P0750",2016,81.24484571,80.12199498,31,31,31,31
"P0751","P0751",-22.994778,-54.184472,"Pt82","fish_Cerrado_MS3",16,26,"P0751",2016,79.71042023,94.69693048,31,31,31,31
"P0752","P0752",-22.782806,-54.199944,"Pt83","fish_Cerrado_MS3",2,26,"P0752",2016,79.71042023,100,31,31,31,31
"P0753","P0753",-22.648778,-54.242361,"Pt84","fish_Cerrado_MS3",6,30,"P0753",2016,92.49979746,89.52994205,31,31,31,31
"P0754","P0754",-22.433972,-55.064361,"Pt85","fish_Cerrado_MS3",6,37,"P0754",2016,84.77239035,86.35658298,31,31,31,31
"P0755","P0755",-22.436722,-55.093861,"Pt86","fish_Cerrado_MS3",6,37,"P0755",2016,84.77239035,86.44122329,31,31,31,31
"P0756","P0756",-22.596028,-55.600556,"Pt87","fish_Cerrado_MS3",2,35,"P0756",2016,84.77387042,68.6882004,31,31,31,31
"P0758","P0758",-21.491472,-54.589306,"Pt89","fish_Cerrado_MS3",11,47,"P0758",2016,81.1395724,81.95345002,31,31,31,31
"P0766","P0766",-22.057222,-55.498028,"Pt97","fish_Cerrado_MS3",3,122,"P0766",2016,79.31890226,77.50439367,31,31,31,31
"P0780","P0780",-21.329028,-55.329028,"Pt111","fish_Cerrado_MS3",6,50,"P0780",2016,87.47747629,65.07747318,31,31,31,31
"P0783","P0783",-22.129694,-54.579278,"Pt114","fish_Cerrado_MS3",21,39,"P0783",2016,93.93028854,96.00498505,31,31,31,31
"P0784","P0784",-21.893333,-54.343778,"Pt115","fish_Cerrado_MS3",7,45,"P0784",2016,81.36383493,89.53611663,31,31,31,31
"P0786","P0786",-23.041639,-54.024056,"Pt118","fish_Cerrado_MS3",11,26,"P0786",2016,79.71042023,92.05823958,31,31,31,31
"P0787","P0787",-22.763194,-53.969833,"Pt119","fish_Cerrado_MS3",5,28,"P0787",2016,81.24484571,97.18726869,31,31,31,31
"P0793","P0793",-23.133333,-53.876111,"Pt125","fish_Cerrado_MS3",12,26,"P0793",2016,79.71042023,88.86994705,31,31,31,31
"P0798","P0798",-22.581472,-54.328361,"G2","fish_Cerrado_MS3",13,30,"P0798",2016,92.49979746,97.36624247,31,31,31,31
"P0799","P0799",-22.603417,-54.340778,"G3","fish_Cerrado_MS3",14,30,"P0799",2016,92.49979746,97.42246438,31,31,31,31
"P0802","P0802",-22.602833,-53.9385,"G6","fish_Cerrado_MS3",25,29,"P0802",2016,88.53951465,87.67556624,29,31,31,31
"P0804","P0804",-21.94183,-55.70272,"Cab01","fish_Cerrado_MS3",9,54,"P0804",2016,83.80209928,87.09204647,31,31,31,31
"P0805","P0805",-21.80758,-55.65744,"Cab10","fish_Cerrado_MS3",10,53,"P0805",2016,86.03823019,94.36040865,31,31,31,31
"P0807","P0807",-21.25867,-55.53669,"Cab15","fish_Cerrado_MS3",7,50,"P0807",2016,87.47747629,89.54621849,31,31,31,31
"P0810","P0810",-22.198569,-54.690304,"LD2","fish_Cerrado_MS3",10,39,"P0810",2016,93.93028854,94.95067676,31,31,31,31
"P0811","P0811",-22.100479,-54.649977,"LD3","fish_Cerrado_MS3",13,54,"P0811",2016,83.80209928,90.3291345,31,31,31,31
"P0812","P0812",-22.095546,-54.552002,"LD4","fish_Cerrado_MS3",21,39,"P0812",2016,93.93028854,92.59259259,31,31,31,31
"P0819","P0819",-22.25629,-54.86129,"3tubos","fish_Cerrado_MS3",11,38,"P0819",2016,87.84545099,93.95538223,31,31,31,31
"P0821","P0821",-22.557378,-55.623394,"Carambola","fish_Cerrado_MS3",9,35,"P0821",2016,84.77387042,90.69972025,31,31,31,31
"P0824","P0824",-22.483465,-55.242073,"Douradinho","fish_Cerrado_MS3",10,36,"P0824",2016,84.3006976,85.53013371,31,31,31,31
"P0825","P0825",-22.290982,-54.562171,"Picada","fish_Cerrado_MS3",8,41,"P0825",2016,92.34692954,93.98746573,31,31,31,31
"P0830","P0830",-22.26527,-53.835482,"DaMata","fish_Cerrado_MS3",17,43,"P0830",2016,90.46069514,49.645861,31,31,31,31
"P0832","P0832",-21.941386,-54.84665,"CorCarumbezinho","fish_Cerrado_MS3",5,40,"P0832",2016,88.70596504,95.89145864,31,31,31,31
"P0835","P0835",-22.204921,-54.881643,"Curral_1","fish_Cerrado_MS3",11,38,"P0835",2016,87.84545099,88.21119709,31,31,31,31
"P0836","P0836",-22.220884,-54.918114,"Curral_2","fish_Cerrado_MS3",3,38,"P0836",2016,87.84545099,88.01705084,31,31,31,31
"P0837","P0837",-22.210763,-54.913785,"Curral_4","fish_Cerrado_MS3",6,38,"P0837",2016,87.84545099,80.9060277,31,31,31,31
"P0844","P0844",-22.312387,-54.842315,"Curral_15","fish_Cerrado_MS3",5,38,"P0844",2016,87.84545099,92.21539072,31,31,31,31
"P0849","P0849",-22.381333,-53.889722,"Cor_Rosario","fish_Cerrado_MS3",9,42,"P0849",2016,87.80942046,97.30642724,31,31,31,31
"P0872","P0872",-22.35417,-54.940721,"Madeira","fish_Cerrado_MS3",25,38,"P0872",2016,87.84545099,83.88241257,31,31,31,31
"P0889","P0889",-22.2894,-54.31873,"Afl_R_Dourados","fish_Cerrado_MS3",11,41,"P0889",2016,92.34692954,95.31972482,31,31,31,31
"P0890","P0890",-22.28602,-54.17278,"Cor_Dez","fish_Cerrado_MS3",11,41,"P0890",2016,92.34692954,97.62570211,31,31,31,31
"P0891","P0891",-22.30312,-53.80622,"Cor_Franco","fish_Cerrado_MS3",15,43,"P0891",2016,90.46069514,95.91616965,31,31,31,31
"P0895","P0895",-22.29321,-53.76251,"Cor_Caloda_J","fish_Cerrado_MS3",8,43,"P0895",2016,90.46069514,97.03571429,31,31,31,31
"P0896","P0896",-22.21137,-53.90292,"Nasc_Piraveve","fish_Cerrado_MS3",17,43,"P0896",2016,90.46069514,95.14138241,31,31,31,31
"P0897","P0897",-22.20297,-53.92812,"Afl_Piraveve","fish_Cerrado_MS3",7,43,"P0897",2016,90.46069514,96.09261939,31,31,31,31
"P0903","P0903",-22.2453,-54.05251,"nasc_iretan","fish_Cerrado_MS3",10,44,"P0903",2016,93.70910585,98.55317351,31,31,31,31
"P0904","P0904",-22.19177,-53.64944,"Cor_Sao_Joao","fish_Cerrado_MS3",11,43,"P0904",2016,90.46069514,91.81694943,31,31,31,31
"P0905","P0905",-22.13218,-53.99947,"nasc_pira","fish_Cerrado_MS3",8,43,"P0905",2016,90.46069514,95.31323599,31,31,31,31
"P0907","P0907",-21.97072,-55.95173,"Sao_lourenço","Fish_Cerrado_MS4",4,56,"P0907",2016,70.32688303,79.49974324,31,31,31,31
"P0908","P0908",-21.8989,-56.05018,"Limeira","Fish_Cerrado_MS4",7,56,"P0908",2016,70.32688303,64.60252578,31,31,31,31
"P0909","P0909",-21.82586,-56.10278,"Preto","Fish_Cerrado_MS4",13,56,"P0909",2016,70.32688303,51.31217745,31,31,31,31
"P0919","P0919",-21.65833,-56.02726,"Sta_Tereza","Fish_Cerrado_MS4",17,55,"P0919",2016,72.87643114,92.94867464,31,31,31,31
"P0922","P0922",-19.77643,-54.51244,"Barreirinho","Fish_Cerrado_MS4",16,60,"P0922",2016,63.16381528,71.54709614,0,31,31,31
"P0923","P0923",-19.744,-54.64326,"Manga","Fish_Cerrado_MS4",10,60,"P0923",2016,63.16381528,78.50808555,0,31,31,31
"P0935","P0935",-20.65782,-55.14295,"Rib_Belchior","Fish_Cerrado_MS4",8,49,"P0935",2016,67.73396854,81.25384773,0,28,31,31
"P0937","P0937",-20.80774,-54.88499,"Cór_canastrão","Fish_Cerrado_MS4",14,49,"P0937",2016,67.73396854,64.03116764,0,28,31,31
"P0938","P0938",-20.88995,-54.94744,"Cór_coroado","Fish_Cerrado_MS4",5,49,"P0938",2016,67.73396854,91.53406458,0,28,31,31
"P0941","P0941",-21.95381,-55.84067,"Nasc_Miranda","Fish_Cerrado_MS4",3,56,"P0941",2016,70.32688303,100,31,31,31,31
"P0944","P0944",-21.88867,-55.78406,"Cab_Cor_Fundo","Fish_Cerrado_MS4",3,55,"P0944",2016,72.87643114,89.76377953,31,31,31,31
"P0951","P0951",-15.853734,-52.254766,"Corrego 1","fish_Cerrado_MT",1,92,"P0951",2016,52.15310778,6.431609696,0,12,31,31
"P0953","P0953",-15.854124,-52.136784,"Corrego 3","fish_Cerrado_MT",12,92,"P0953",2016,52.15310778,24.26596479,0,12,31,31
"P0955","P0955",-15.875474,-52.220117,"Corrego 5","fish_Cerrado_MT",12,92,"P0955",2016,52.15310778,13.2434884,0,12,31,31
"P0970","P0970",-15.71715047,-52.63596973,"Corrego 20","fish_Cerrado_MT",2,93,"P0970",2016,41.07303841,54.16058394,0,0,20,31
"P0971","P0971",-15.74185373,-52.62227507,"Corrego 21","fish_Cerrado_MT",13,93,"P0971",2016,41.07303841,19.80574408,0,0,20,31
"P0972","P0972",-15.75594019,-52.58935291,"Corrego 22","fish_Cerrado_MT",10,93,"P0972",2016,41.07303841,77.28446051,0,0,20,31
"P0974","P0974",-15.97608951,-52.3752345,"Corrego 24","fish_Cerrado_MT",4,91,"P0974",2016,55.58607228,85.87424634,0,9,31,31
"P0975","P0975",-15.96025229,-52.36101308,"Corrego 25","fish_Cerrado_MT",3,91,"P0975",2016,55.58607228,95.59859155,0,9,31,31
"P0978","P0978",-15.94042403,-52.42811823,"Corrego 28","fish_Cerrado_MT",9,91,"P0978",2016,55.58607228,46.97093608,0,9,31,31
"P0979","P0979",-15.86024775,-52.20240227,"Corrego 29","fish_Cerrado_MT",3,92,"P0979",2016,52.15310778,13.41152473,0,12,31,31
"P0981","P0981",-15.95347083,-52.13151695,"Corrego 31","fish_Cerrado_MT",23,92,"P0981",2016,52.15310778,54.62727837,0,12,31,31
"P0982","P0982",-15.78437415,-52.36235896,"Corrego 32","fish_Cerrado_MT",9,91,"P0982",2016,55.58607228,44.36345967,0,9,31,31
"P0983","P0983",-15.89842086,-52.18840224,"Corrego 33","fish_Cerrado_MT",18,92,"P0983",2016,52.15310778,64.14835165,0,12,31,31
"P1018","P1018",-26.249419,-50.455832,"Corrego_Tira_Fogo","Fish_MAtlantica_PR",12,6,"P1018",2004,60.13620425,72.71,0,19,19,19
"P1025","P1025",-26.361554,-50.541335,"Riacho_Juquia","Fish_MAtlantica_PR",1,6,"P1025",2004,60.13620425,59.49,0,19,19,19
"P1030","P1030",-25.591663,-49.942123,"Riacho_Porto_Amazonas","Fish_MAtlantica_PR",2,16,"P1030",2004,58.68279531,58.1,0,19,19,19
"P1032","P1032",-25.590102,-49.495963,"Riacho_Guajuvira","Fish_MAtlantica_PR",4,14,"P1032",2004,70.02029653,59.34,19,19,19,19
"P1033","P1033",-25.598704,-49.712226,"Riacho_Serrinha","Fish_MAtlantica_PR",3,15,"P1033",2004,59.12527046,84.23,0,19,19,19
"P1034","P1034",-25.779297,-49.139057,"Rio_Abaixo","Fish_MAtlantica_PR",7,10,"P1034",2004,51.97936214,27.13,0,19,19,19
"P1035","P1035",-25.589437,-49.691576,"Rio_Amola_Faca","Fish_MAtlantica_PR",6,15,"P1035",2004,59.12527046,22.86,0,19,19,19
"P1037","P1037",-26.311363,-50.13643,"Rio_Arroio_Grande","Fish_MAtlantica_PR",5,8,"P1037",2004,57.88889005,90.44,0,10,19,19
"P1040","P1040",-25.543093,-49.886077,"Riacho_Canoninhas","Fish_MAtlantica_PR",5,16,"P1040",2004,58.68279531,88.58,0,19,19,19
"P1050","P1050",-26.154086,-50.282479,"Rio_dos_Pardos","Fish_MAtlantica_PR",5,7,"P1050",2004,64.4358989,55.85,0,19,19,19
"P1055","P1055",-25.583689,-49.644379,"Rio_Itaqui","Fish_MAtlantica_PR",1,15,"P1055",2004,59.12527046,59.57,0,19,19,19
"P1057","P1057",-26.325166,-50.018271,"Rio_Leonardo","Fish_MAtlantica_PR",10,8,"P1057",2004,57.88889005,39.38,0,10,19,19
"P1070","P1070",-25.83688,-49.135434,"Rio_Taboado","Fish_MAtlantica_PR",6,10,"P1070",2004,51.97936214,75.3,0,19,19,19
"P1071","P1071",-25.491373,-49.653604,"Rio Tortuoso","Fish_MAtlantica_PR",4,15,"P1071",2004,59.12527046,43.32,0,19,19,19
"P1073","P1073",-25.653984,-49.572053,"Rio_Turvo","Fish_MAtlantica_PR",4,14,"P1073",2004,70.02029653,67.87,19,19,19,19
"P1076","P1076",-26.159521,-50.238443,"Arroio_do_Paiol","Fish_MAtlantica_PR",3,7,"P1076",2004,64.4358989,83.09,0,19,19,19
"P1077","P1077",-26.112772,-49.455536,"Rio_dos_Pardos","Fish_MAtlantica_PR",6,9,"P1077",2004,50.00330317,32.86,0,19,19,19
"P1078","P1078",-26.173485,-49.39709,"Mato_Preto","Fish_MAtlantica_PR",4,9,"P1078",2004,50.00330317,51.66,0,19,19,19
"P1079","P1079",-26.158883,-49.362218,"Rio_Poco_Frio","Fish_MAtlantica_PR",5,9,"P1079",2004,50.00330317,60.73,0,19,19,19
"P1081","P1081",-25.289828,-48.678691,"Rio_do_Turvo","Fish_MAtlantica_PR",8,13,"P1081",2004,8.323280378,0,0,0,0,19
"P1083","P1083",-25.25622,-48.67675,"Rio_Dominguinhos","Fish_MAtlantica_PR",13,13,"P1083",2004,8.323280378,0,0,0,0,19
"P1089","P1089",-23.328953,-51.890558,"AQU1","Fish_MAtlantica_PR2",17,21,"P1089",2008,95.01412953,98.01801802,15,23,23,23
"P1110","P1110",-23.359442,-51.914231,"ROS1","Fish_MAtlantica_PR2",9,21,"P1110",2008,95.01412953,98.81018262,15,23,23,23
"P1186","P1186",-20.822333,-49.563056,"001IBISJD","Fish_MAtlantica_SP",14,66,"P1186",2005,91.22955688,95.21,20,20,20,20
"P1187","P1187",-20.779167,-49.581167,"002IBISJD","Fish_MAtlantica_SP",13,66,"P1187",2005,91.22955688,81.13,20,20,20,20
"P1188","P1188",-20.714722,-49.71,"003IBISJD","Fish_MAtlantica_SP",9,66,"P1188",2005,91.22955688,98.38,20,20,20,20
"P1190","P1190",-20.717361,-49.811528,"005IBISJD","Fish_MAtlantica_SP",6,66,"P1190",2005,91.22955688,91.85,20,20,20,20
"P1191","P1191",-20.687917,-49.884917,"006IBISJD","Fish_MAtlantica_SP",10,66,"P1191",2005,91.22955688,90.15,20,20,20,20
"P1192","P1192",-20.625444,-49.892611,"007IBISJD","Fish_MAtlantica_SP",11,67,"P1192",2005,84.66817873,83.56,20,20,20,20
"P1193","P1193",-20.612889,-49.96825,"008IBISJD","Fish_MAtlantica_SP",13,67,"P1193",2005,84.66817873,90.08,20,20,20,20
"P1194","P1194",-20.542056,-49.935306,"009IBISJD","Fish_MAtlantica_SP",8,67,"P1194",2005,84.66817873,92.46,20,20,20,20
"P1199","P1199",-20.475722,-49.886972,"014IBISJD","Fish_MAtlantica_SP",8,67,"P1199",2005,84.66817873,86.92,20,20,20,20
"P1200","P1200",-20.458917,-50.242583,"015IBISJD","Fish_MAtlantica_SP",4,68,"P1200",2005,82.5739294,92.66,20,20,20,20
"P1201","P1201",-20.444222,-50.263278,"016IBISJD","Fish_MAtlantica_SP",16,68,"P1201",2005,82.5739294,93.21,20,20,20,20
"P1203","P1203",-20.314361,-50.384667,"018IBISJD","Fish_MAtlantica_SP",9,70,"P1203",2005,88.17948549,96.07,20,20,20,20
"P1204","P1204",-20.376389,-50.450917,"019IBISJD","Fish_MAtlantica_SP",3,70,"P1204",2005,88.17948549,92.71,20,20,20,20
"P1206","P1206",-20.528222,-50.320833,"021IBISJD","Fish_MAtlantica_SP",13,68,"P1206",2005,82.5739294,94.37,20,20,20,20
"P1210","P1210",-20.597083,-50.758111,"025IBISJD","Fish_MAtlantica_SP",8,69,"P1210",2005,92.04492407,84.36,20,20,20,20
"P1211","P1211",-20.524667,-51.049,"026IBISJD","Fish_MAtlantica_SP",9,69,"P1211",2005,92.04492407,97.52,20,20,20,20
"P1218","P1218",-20.431583,-50.813972,"033IBISJD","Fish_MAtlantica_SP",7,69,"P1218",2005,92.04492407,89.99,20,20,20,20
"P1219","P1219",-20.518917,-50.926972,"034IBISJD","Fish_MAtlantica_SP",21,69,"P1219",2005,92.04492407,93.22,20,20,20,20
"P1221","P1221",-20.288806,-49.925417,"036TUG","Fish_MAtlantica_SP",9,73,"P1221",2005,90.0972692,96.04,20,20,20,20
"P1222","P1222",-20.204444,-49.96025,"037TUG","Fish_MAtlantica_SP",9,73,"P1222",2005,90.0972692,97.06,20,20,20,20
"P1228","P1228",-19.97275,-50.447278,"043TUG","Fish_MAtlantica_SP",5,71,"P1228",2005,89.63892586,86.06,20,20,20,20
"P1230","P1230",-20.155,-50.437556,"045TUG","Fish_MAtlantica_SP",10,71,"P1230",2005,89.63892586,81.8,20,20,20,20
"P1233","P1233",-20.142444,-50.379861,"048TUG","Fish_MAtlantica_SP",13,71,"P1233",2005,89.63892586,77.18,20,20,20,20
"P1242","P1242",-20.103306,-49.923278,"057TUG","Fish_MAtlantica_SP",10,74,"P1242",2005,89.36047363,82.36,20,20,20,20
"P1243","P1243",-20.190917,-49.86775,"058TUG","Fish_MAtlantica_SP",12,74,"P1243",2005,89.36047363,88.24,20,20,20,20
"P1244","P1244",-20.109972,-49.823472,"059TUG","Fish_MAtlantica_SP",20,74,"P1244",2005,89.36047363,86.97,20,20,20,20
"P1249","P1249",-20.195806,-49.416111,"064TUG","Fish_MAtlantica_SP",2,75,"P1249",2005,87.70185126,94.2,20,20,20,20
"P1250","P1250",-20.094889,-49.672861,"065TUG","Fish_MAtlantica_SP",11,74,"P1250",2005,89.36047363,99.22,20,20,20,20
"P1251","P1251",-20.151861,-49.556694,"066TUG","Fish_MAtlantica_SP",15,75,"P1251",2005,87.70185126,94.53,20,20,20,20
"P1252","P1252",-20.207194,-49.546917,"067TUG","Fish_MAtlantica_SP",14,75,"P1252",2005,87.70185126,95.82,20,20,20,20
"P1256","P1256",-20.286861,-49.531667,"071TUG","Fish_MAtlantica_SP",1,75,"P1256",2005,87.70185126,100,20,20,20,20
"P1257","P1257",-20.325389,-49.399944,"072TUG","Fish_MAtlantica_SP",7,75,"P1257",2005,87.70185126,92.44,20,20,20,20
"P1258","P1258",-20.384667,-49.400444,"073TUG","Fish_MAtlantica_SP",14,75,"P1258",2005,87.70185126,94.99,20,20,20,20
"P1261","P1261",-20.702028,-49.406083,"076TUG","Fish_MAtlantica_SP",3,65,"P1261",2005,90.59562285,82.67,20,20,20,20
"P1262","P1262",-20.584917,-49.450139,"077TUG","Fish_MAtlantica_SP",12,65,"P1262",2005,90.59562285,98.21,20,20,20,20
"P1263","P1263",-20.689944,-49.451139,"078TUG","Fish_MAtlantica_SP",8,65,"P1263",2005,90.59562285,86.5,20,20,20,20
"P1264","P1264",-20.720167,-49.223333,"079TUG","Fish_MAtlantica_SP",9,63,"P1264",2005,90.34747033,95.2,20,20,20,20
"P1265","P1265",-20.694639,-49.08175,"080TUG","Fish_MAtlantica_SP",11,63,"P1265",2005,90.34747033,97.61,20,20,20,20
"P1271","P1271",-20.852556,-49.2345,"086TUG","Fish_MAtlantica_SP",12,63,"P1271",2005,90.34747033,98.22,20,20,20,20
"P1289","P1289",-22.134517,-47.728228,"Corumbatai_09","Fish_MAtlantica_SP2",4,23,"P1289",2005,79.37823237,77.22,20,20,20,20
"P1292","P1292",-22.113722,-47.702513,"Corumbatai_12","Fish_MAtlantica_SP2",6,23,"P1292",2005,79.37823237,57.31,20,20,20,20
"P1294","P1294",-22.155779,-47.632514,"Corumbatai_14","Fish_MAtlantica_SP2",5,23,"P1294",2005,79.37823237,51.5,20,20,20,20
"P1295","P1295",-22.138027,-47.705545,"Corumbatai_15","Fish_MAtlantica_SP2",3,23,"P1295",2005,79.37823237,93.42,20,20,20,20
"P1297","P1297",-22.152586,-47.604796,"Corumbatai_17","Fish_MAtlantica_SP2",1,23,"P1297",2005,79.37823237,40.18,20,20,20,20
"P1298","P1298",-22.148003,-47.614238,"Corumbatai_18","Fish_MAtlantica_SP2",2,23,"P1298",2005,79.37823237,74.84,20,20,20,20
"P1299","P1299",-22.164807,-47.705786,"Corumbatai_19","Fish_MAtlantica_SP2",4,23,"P1299",2005,79.37823237,60.64,20,20,20,20
"P1303","P1303",-22.264122,-47.68139,"Corumbatai_23","Fish_MAtlantica_SP2",2,22,"P1303",2005,74.3468606,70.07,20,20,20,20
"P1304","P1304",-22.251638,-47.662106,"Corumbatai_24","Fish_MAtlantica_SP2",7,22,"P1304",2005,74.3468606,75.72,20,20,20,20
"P1307","P1307",-22.305968,-47.67503,"Corumbatai_27","Fish_MAtlantica_SP2",1,22,"P1307",2005,74.3468606,92.24,20,20,20,20
"P1311","P1311",-22.340545,-47.803463,"Corumbatai_31","Fish_MAtlantica_SP2",2,22,"P1311",2005,74.3468606,43.36,20,20,20,20
"P1312","P1312",-22.342315,-47.799249,"Corumbatai_32","Fish_MAtlantica_SP2",4,22,"P1312",2005,74.3468606,67.49,19,19,19,20
"P1313","P1313",-22.36334,-47.891996,"Corumbatai_33","Fish_MAtlantica_SP2",16,22,"P1313",2005,74.3468606,81.03,20,20,20,20
"P1314","P1314",-22.362523,-47.891213,"Corumbatai_34","Fish_MAtlantica_SP2",10,22,"P1314",2005,74.3468606,75.4,20,20,20,20
"P1317","P1317",-22.285449,-47.831412,"Corumbatai_37","Fish_MAtlantica_SP2",11,22,"P1317",2005,74.3468606,55.73,20,20,20,20
"P1319","P1319",-22.360013,-47.835683,"Corumbatai_39","Fish_MAtlantica_SP2",1,22,"P1319",2005,74.3468606,55.7,20,20,20,20
"P1320","P1320",-22.399225,-47.84736,"Corumbatai_40","Fish_MAtlantica_SP2",3,22,"P1320",2005,74.3468606,99.5,20,20,20,20
"P1321","P1321",-22.4003,-47.841179,"Corumbatai_41","Fish_MAtlantica_SP2",4,22,"P1321",2005,74.3468606,81.45,20,20,20,20
"P1322","P1322",-22.410102,-47.883985,"Corumbatai_42","Fish_MAtlantica_SP2",3,22,"P1322",2005,74.3468606,98.79,20,20,20,20
"P1323","P1323",-22.401036,-47.866956,"Corumbatai_43","Fish_MAtlantica_SP2",1,22,"P1323",2005,74.3468606,100,20,20,20,20
"P1324","P1324",-22.516729,-47.75498,"Corumbatai_44","Fish_MAtlantica_SP2",2,22,"P1324",2005,74.3468606,93.43,20,20,20,20
"P1325","P1325",-22.402167,-47.810843,"Corumbatai_45","Fish_MAtlantica_SP2",12,22,"P1325",2005,74.3468606,68.44,20,20,20,20
"P1326","P1326",-22.420712,-47.79078,"Corumbatai_46","Fish_MAtlantica_SP2",12,22,"P1326",2005,74.3468606,66.31,20,20,20,20
"P1343","P1343",-22.191033,-47.608316,"Corumbatai_63","Fish_MAtlantica_SP2",4,23,"P1343",2005,79.37823237,75.46,20,20,20,20
"P1346","P1346",-22.286253,-47.621963,"Corumbatai_66","Fish_MAtlantica_SP2",4,23,"P1346",2005,79.37823237,81.68,20,20,20,20
"P1347","P1347",-22.276063,-47.577319,"Corumbatai_67","Fish_MAtlantica_SP2",10,23,"P1347",2005,79.37823237,91.46,20,20,20,20
"P1348","P1348",-22.195299,-47.575716,"Corumbatai_68","Fish_MAtlantica_SP2",3,23,"P1348",2005,79.37823237,80.58,20,20,20,20
"P1349","P1349",-22.195219,-47.59549,"Corumbatai_69","Fish_MAtlantica_SP2",4,23,"P1349",2005,79.37823237,79.24,20,20,20,20
"P1350","P1350",-22.214797,-47.608697,"Corumbatai_70","Fish_MAtlantica_SP2",11,23,"P1350",2005,79.37823237,95.89,20,20,20,20
"P1351","P1351",-22.177084,-47.584621,"Corumbatai_71","Fish_MAtlantica_SP2",10,23,"P1351",2005,79.37823237,55.64,20,20,20,20
"P1352","P1352",-22.182587,-47.581988,"Corumbatai_72","Fish_MAtlantica_SP2",4,23,"P1352",2005,79.37823237,81.13,20,20,20,20
"P3224","P3224",-9.900258,-59.191291,"A09","Fish_Amazonia_MT",22,110,"P3224",2018,25.38340849,34.50681109,0,0,0,33
"P3225","P3225",-9.913694,-59.118771,"A10","Fish_Amazonia_MT",15,110,"P3225",2018,25.38340849,40.89987092,0,0,0,33
"P3237","P3237",-11.449072,-59.072198,"A22","Fish_Amazonia_MT",21,109,"P3237",2018,48.09493567,87.63620191,0,0,19,33
"P3238","P3238",-11.458547,-59.053786,"A23","Fish_Amazonia_MT",9,109,"P3238",2018,48.09493567,90.98765432,0,0,19,33
"P3239","P3239",-11.460389,-59.037241,"A24","Fish_Amazonia_MT",10,109,"P3239",2018,48.09493567,65.25658807,0,0,19,33
"P3240","P3240",-11.463599,-59.031922,"A25","Fish_Amazonia_MT",14,109,"P3240",2018,48.09493567,49.12321181,0,0,19,33
"P3241","P3241",-11.508836,-59.083063,"A26","Fish_Amazonia_MT",16,109,"P3241",2018,48.09493567,39.92473371,0,0,19,33
"P3242","P3242",-11.447033,-59.146873,"A27","Fish_Amazonia_MT",17,109,"P3242",2018,48.09493567,78.95295564,0,0,19,33
"P3245","P3245",-11.467404,-59.124734,"A30","Fish_Amazonia_MT",21,109,"P3245",2018,48.09493567,52.08671835,0,0,19,33
"P3246","P3246",-11.530351,-58.825896,"J01","Fish_Amazonia_MT",19,108,"P3246",2018,56.91301768,92.83489097,0,17,24,33
"P3247","P3247",-11.512006,-58.847949,"J02","Fish_Amazonia_MT",28,108,"P3247",2018,56.91301768,83.23541467,0,17,24,33
"P3248","P3248",-11.487667,-58.809802,"J03","Fish_Amazonia_MT",19,108,"P3248",2018,56.91301768,76.25513104,0,17,24,33
"P3249","P3249",-11.535163,-58.717219,"J04","Fish_Amazonia_MT",31,108,"P3249",2018,56.91301768,77.00080032,0,17,24,33
