ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Acanthodoras_cataphractus,Acestrorhynchus_falcatus,Aequidens_tetramerus,Amazonspinther_dalmata,Ancistrus_lithurgicus,Anostomus_ternetzi,Apistogramma_cf_resticulosa,Apteronotus_albifrons,Astyanax_cf_bimaculatus,Astyanax_maculisquamis,Astyanax_cf_maximus,Bario_steindachneri,Batrochoglanis_cf_raninus,Batrochoglanis_villosus,Brachychalcinus_copei,Brachyhypopomus_sp1,Brachyhypopomus_sp2,Brachyhypopomus_sp3,Bryconops_caudomaculatus,Bryconella_pallidifrons,Bryconops_piracolina,Carnegiella_strigata,Centromochlus_cf_perugiae,Cetopsorhamdia_sp1,Cetopsorhamdia_sp2,Cetopsorhamdia_sp3,Characidium_aff_gomesi,Characidium_sp,Characidium_aff_ zebra,Cheirodon_troemneri ,Cichlasoma_amazonarum,Corydoras_acutus,Corydoras_aff_ambiacus,Corydoras_cf_bondi,Corydoras_cf_bondi,Corydoras_cf_melanistius,Corydoras_stenocephalus,Corydoras_aff_ambiacus,Crenicichla_johanna,Creagrutus_petilus,Crenicichla_santosi,Curimatopsis_macrolepis,Cyphocharax_plumbeus,Cyphocharax_spiluropsis,Denticetopsis_seducta,Eigenmannia_trilineata,Elachocharax_pulcher,Erythrinus_erythrinus,Farlowella_cf_oxyrryncha,Geophagus_megasema,Gymnotus_aff_arapaima,Gymnotus_carapo,Gymnotus_coropinae,Gymnorhamphichthys_petiti,Helogenes_gouldingi,Hemigrammus_bellotti,Hemigrammus_melanochrous,Hemigrammus_neptunus,Hemigrammus_aff_ocellifer,Hemigrammus_sp,Hemiodus_unimaculatus,Hoplosternum_littorale,Hoplias_malabaricus,Hoplerythrinus_unitaeniatus,Hyphessobrycon_agulha,Hyphessobrycon_bentosi,Hyphessobrycon_bentosi,Hyphessobrycon_aff_heterorhabdus,Hypopygus_lepturus,Hypostomus_pyrineusi,Hypostomus_sp,Imparfinis_cf_hasemani,Imparfinis_stictonotus,Ituglanis_amazonicus,Jupiaba_citrina,Jupiaba_poranga,Jupiaba_zonata,Knodus_heteresthes,Knodus_cf_smithi,Lasiancistrus_schomburgkii,Leporinus_friderici,Loricaria_cataphracta,Megalechis_picta,Melanocharacidium_dispilomma,Melanocharacidium_pectorale,Microschemobrycon_sp,Microglanis_poecilus,Microcharacidium_sp,Microcharacidium_aff_weitzmani,Miuroglanis_platycephalus,Moenkhausia_cf_bonita,Moenkhausia_collettii,Moenkhausia_cotinho,Moenkhausia_aff_gracilima,Moenkhausia_grandisquamis,Moenkhausia_mikia ,Moenkhausia_oligolepis,Moenkhausia_pankilopteryx,Myleus_sp,Nannostomus_trifasciatus,Odontostilbe_fugitiva,Otocinclus_hoppei,Parotocinclus_aff_aripuanensis,Parodon_nasus,Parauchenipterus_porosus,Paracanthopoma_sp,Phenacorhamdia_cf_boliviana,Phenacogaster_retropinnus,Phenacorhamdia_sp,Pimelodella_cf_howesi ,Pimelodella_sp,Platyurosternarchus_macrostomus,Potamorrhaphis_guianensis,Prochilodus_nigricans,Pseudobunocephalus_amazonicus,Pyrrhulina_cf_australis,Pyrrhulina_cf_brevis,Pyrrhulina_cf_zigzag,Rhamdia_quelen,Rineloricaria_heteroptera,Rineloricaria_sp,Rivulus_sp,Satanoperca_jurupari ,Serrapinnus_microdon,Serrapinus_aff_notomelas,Serrasalmus_rhombeus,Spatuloricaria_evansii,Aphanotorulus_emarginatus,Steindachnerina_cf_dobula,Steindachnerina_fasciata,Steindachnerina_guentheri,Sternopygus_macrurus,Tatia_aulopygia,Tetragonopterus_argenteus,Tilapia_rendalli,Triportheus_angulatus,Tyttocharax_madeirae,Potamotrygon_orbignyi,Synbranchus_marmoratus
P0203,-11.201586,-62.005743,RO1,Fish_Amazonia_RO,170,73.68421053,0,0,2,0,11,0,0,0,5,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0,23,0,2,0,0,1,0,0,0,0
P0204,-11.492074,-62.415159,RO2,Fish_Amazonia_RO,170,80.1937046,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,1,28,48,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,3,0,0,8,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,72,0,0,0,1,10,0,0,0,0,6,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,53,33,0,0,0,0,0,0,1,0,0,0,1,0,0,0
P0205,-10.968421,-62.271652,RO3,Fish_Amazonia_RO,170,90.18820047,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0206,-10.895861,-62.084232,RO4,Fish_Amazonia_RO,170,83.4845735,0,0,3,0,11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,2,0,0,0,2,0,0,0,0,14,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,1,3,0,0,0,0,1,3,0,1,1,0,0,0,3,0,0,0,0,0,9,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,21,0,0,0,0,0,0,2,0,0,0,0,0,0,2
P0207,-10.872305,-62.791154,RO5,Fish_Amazonia_RO,170,99.40227137,0,0,3,0,1,0,0,0,4,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,1,0,25,61,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,86,6,0,0,2,0,0,0,2,0,0,0,0,0,7,93,0,0,0,14,3,0,0,0,1,0,2,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,2,0,1,10,4,0,0,0,0,0,0,1,0,0,0
P0208,-10.810544,-62.427159,RO6,Fish_Amazonia_RO,170,85.253812,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,32,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0209,-10.614451,-62.332179,RO7,Fish_Amazonia_RO,170,90.35087719,0,0,1,0,6,0,0,0,0,0,0,0,0,0,13,0,0,0,39,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,100,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,178,48,0,0,0,0,1,0,0,6,0,0,0,0,0,0,13,0,1,2,0,0,0,0,0,0,0,0,5,0,0,0,28,20,0,0,1,0,4,0,0,0,0,0,0,0,0,0
P0210,-11.387608,-61.923189,RO8,Fish_Amazonia_RO,170,88.57142857,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,10,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0
P0211,-11.727088,-62.280114,RO9,Fish_Amazonia_RO,170,65.45240893,0,0,22,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,18,0,0,0,0,0,0,0,0,208,0,0,0,0,0,9,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,5,0,0,0,0,0,0,0,0,28,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,28,132,0,1,0,0,2,0,4,0,0,0,0,0,0,0
P0212,-11.724269,-62.040691,RO10,Fish_Amazonia_RO,170,73.38429466,0,0,0,0,16,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,11,14,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,14,6,0,0,0,0,0,17,0,0,0,0,0,12,1,0,0,1,1,7,1,0,0,32,0,1,0,0,2,34,0,0,1,2,0,0,0,0,0,0,0,4,0,0,0,69,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0
P0213,-11.895923,-61.67323,RO11,Fish_Amazonia_RO,170,56.48224606,0,0,15,0,73,0,0,0,0,4,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,4,0,39,0,2,0,0,0,0,0,0,0,0,62,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,4,0,0,1,0,0,3,108,0,0,0,0,0,0,0,0,0,0,0,63,0,5,0,0,0,2,23,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,216,89,0,2,6,0,0,0,1,0,0,0,0,0,0,0
P0214,-11.905862,-61.714808,RO12,Fish_Amazonia_RO,170,70.27183343,0,0,0,0,5,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,28,150,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
P0215,-11.030736,-61.911585,RO13,Fish_Amazonia_RO,170,58.37642193,0,0,5,0,43,0,0,1,0,0,0,0,0,0,13,0,0,0,61,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,2,1,45,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,43,0,1,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,0,0,2,12,1,0,1,85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0216,-9.405916,-62.3346,RO14,Fish_Amazonia_RO,170,37.22044728,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,1,0,0,0,9,0,0,0,0,13,1,0,188,0,1,0,0,0,0,0,23,0,0,0,0,0,0,4,0,1,0,0,0,1,0,4,1,0,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,0,0,0,17,2,0,0,1,0,1,12,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
P0217,-9.363185,-62.17274,RO15,Fish_Amazonia_RO,170,89.46684005,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,42,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,0,1,0,10,0,0,0,0,7,0,8,126,0,0,0,0,0,0,0,46,23,0,0,2,0,0,2,0,0,0,0,0,0,0,18,0,0,0,0,0,8,0,0,1,1,0,145,0,0,2,0,1,0,0,0,0,10,14,0,0,1,0,1,2,6,0,0,0,0,4,0,0,0,0,11,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0
P0218,-9.421498,-61.821973,RO16,Fish_Amazonia_RO,170,14.71264367,0,0,0,7,0,0,8,0,0,0,0,0,0,0,4,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,302,0,0,0,0,0,0,0,29,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,1,0,0,0,0,1,0,10,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0219,-9.611701,-62.202572,RO17,Fish_Amazonia_RO,170,81.94444444,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,7,0,0,0,2,11,1,0,364,0,0,0,0,0,0,0,38,51,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,78,0,0,1,0,0,0,0,0,0,0,1,0,0,12,0,5,5,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0220,-9.616026,-62.268924,RO18,Fish_Amazonia_RO,170,100,0,0,0,0,0,0,13,0,0,0,0,0,0,0,8,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,0,4,0,0,1,1,0,0,4,3,2,0,61,0,0,0,0,0,0,0,160,21,0,0,13,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0221,-9.624466,-62.336993,RO19,Fish_Amazonia_RO,170,87.11340206,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,1,0,6,1,0,0,0,0,2,0,0,3,0,0,0,3,6,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,1,14,3,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P0222,-9.668203,-62.291343,RO20,Fish_Amazonia_RO,170,56.0727662,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,51,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,16,1,0,0,2,0,0,1,0,0,0,0,0,0,7,1,0,0,0,5,0,0,0,1,0,1,3,0,0,2,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,74,0,0,1,0,0,208,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,22,4,0,0,0,0,0,0,2,0,0,0,0,0,26,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
P0223,-9.824012,-62.503161,RO21,Fish_Amazonia_RO,170,99.38650307,0,0,0,0,0,0,15,0,0,0,0,0,0,0,5,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P0224,-10.070437,-61.969149,RO22,Fish_Amazonia_RO,170,16.63778163,0,0,0,0,0,0,41,0,0,0,0,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,225,0,5,14,0,0,2,0,15,0,28,0,6,0,0,0,0,9,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,24,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P0225,-10.143039,-61.908798,RO23,Fish_Amazonia_RO,170,11.04651163,0,0,5,0,1,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,55,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,40,0,5,0,0,0,15,0,0,0,98,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,73,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P0226,-9.536044,-61.654218,RO24,Fish_Amazonia_RO,170,0,0,0,1,0,0,0,136,0,0,0,2,0,0,0,0,0,2,4,1,39,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,10,0,2,1,0,0,0,0,0,0,1,0,0,0,0,4,38,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,27,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,2,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0227,-9.543508,-61.648185,RO25,Fish_Amazonia_RO,170,0,0,0,1,0,0,0,32,0,0,0,0,1,5,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2,0,276,0,0,0,10,0,0,18,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0228,-9.541974,-61.644338,RO26,Fish_Amazonia_RO,170,0,1,0,4,0,0,0,17,0,0,0,0,0,5,0,0,0,4,2,0,7,0,10,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,19,65,0,0,0,4,0,0,0,0,4,0,402,0,0,0,23,0,0,27,0,20,0,1,0,0,0,0,0,0,8,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0229,-9.548349,-61.62838,RO27,Fish_Amazonia_RO,170,0,1,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,3,0,9,8,0,0,0,0,0,8,1,20,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P0230,-9.556933,-61.610891,RO28,Fish_Amazonia_RO,170,0,0,1,3,0,0,0,56,0,0,0,0,0,0,0,1,0,0,0,0,125,0,13,0,0,0,0,0,0,22,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,18,1,0,0,0,0,10,4,0,50,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,39,0,0,0,36,1,0,0,29,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0231,-9.572345,-61.613953,RO29,Fish_Amazonia_RO,170,0,0,0,1,0,0,0,62,0,0,0,0,0,0,0,0,0,1,2,0,22,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,16,2,0,0,0,0,7,9,0,84,69,0,2,0,0,1,0,0,90,0,0,0,4,0,0,0,2,15,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,17,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P0232,-9.578593,-61.607196,RO30,Fish_Amazonia_RO,170,0,16,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,3,0,0,339,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,8,0,0,0,5,1,0,0,9,0,0,0,0,0,0,0,0,0,0,582,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
P0233,-9.594976,-61.604669,RO31,Fish_Amazonia_RO,170,0.029226947,1,0,1,0,0,0,31,0,0,0,0,0,0,0,0,0,2,0,0,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,22,0,0,0,0,0,1,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0234,-9.667455,-62.162111,RO32,Fish_Amazonia_RO,170,60.50420168,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,6,0,0,5,0,0,0,15,0,2,0,13,0,0,0,0,0,0,0,0,51,0,8,28,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,59,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,20,0,0,0,0,0,0,7,0,0,0,0,0,0,0
