ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Acestrorhynchus_falcatus,Acestrorhynchus_microlepis,Aequidens_tetramerus,Ancistrus_sp,Ancistrus_sp1,Ancistrus_sp2,Apareiodon_sp_1,Apareiodon_sp_2,Aphyocharax_alburnus,Aphyocharax_sp_1,Apistogramma_sp,Apteronotus_albifrons,Apteronotus_leptorhynchus,Aspidoras_pauciradiatus,Astyanax_argyrimarginatus,Astyanax_aff_asuncionesis,Astyanax_cf_goyacensis,Astyanax_elachylepis,Astyanax_sp,Astyanax_xavante,Biotodoma_aff_cupido,Brycon_falcatus,Bryconamerycus_sp,Bryconops_alburnoides,Bryconops_cf_melanurus,Bryconops cf_giacopinii,Bunocephalus_sp,Callichthys_callichthys,Cetopsis_sp,Cetopsorhamdia_sp,Characidium_cf_zebra,Characidium_sp_1,Characidium_sp3,Characidium_sp4,Characidium_sp5,Characidium_sp6,Cichlasoma_araguaiense,Corydoras_maculifer,Corydoras araguaiensis,Creagrutus_figueiredoi,Creagrutus_menezesi,Creagrutus_seductus,Crenicichla_johanna,Crenicichla_labrina,Crenicichla_reticulata,Crenicichla_sp,Curimatella_immaculata,Cyphocharax_gouldingi,Eigenmannia_cf_trilineata,Farlowella_aff_oxyrryncha,Farlowella aff_schreitmuelleri ,Gymnorhamphichthys_petiti,Gymnotus_cf_carapo,Gymnotus_sp,Hemigrammus_aff_levis,Hemigrammus_aff_ocelifer,Hemigrammus_cf_rodwayi,Hemigrammus_sp,Heros_aff_efasciatus,Hisonotus_sp,Hoplerythrinus_unitaeniatus,Hoplias_cf_malabaricus,Hyphessobrycon_aff_tenuis,Hyphessobrycon_sp,Hypostomus_faveolus,Hypostomus_sp_1,Hypostomus_sp_2,Hypostomus_sp_3,Hypostomus_sp_4,Hypostomus_sp_5,Hypostomus aff_cochliodon,Imparfinis_mirini,Imparfinis_sp,Ituglanis_macunaima,Jupiaba_polylepis,Jupiaba_acanthogaster,Knodus_cf_breviceps,Laetacara_araguaiae,Leporinus_cf_klausewitzi,Leporinus_friderici,Leporinus_sp1,Loricaria_sp_1,Loricaria_sp_2,Loricaria_sp_3,Mastiglanis_asopos ,Melanorivulus_zygonectes,Microglanis_sp,Microschemobrycon_sp_1,Microschemobrycon_sp_2,Moenkhausia_aurantia,Moenkhausia_cf_comma,Moenkhausia_cf_lepidura,Moenkhausia_venerei,Moenkhausia_dichroura,Moenkhausia_oligolepis,Odontostilbe_sp,Otocinclus_sp,Pamphorichthys_araguaiensis,Parancistrus_sp,Parodon_pongaensis,Parotocinclus_britskii,Parotocinclus_sp,Phenacogaster_sp,Phenacorhamdia_somnians,Pimelodella_sp_1,Pimelodella_sp_2,Pimelodella_sp_3,Pyrrhulina_australis,Prochilodus_nigricans,Pseudanos_sp,Pseudopimelodus_cf_pulcher,Retroculus_lapidifer,Rhamdia_quelen,Rineloricaria_hasemani,Roeboexodon_geryi,Satanoperca_jurupari,Serrasalmus_spilopleura,Serrapinnus_micropterus,Serrepinnus_cf_piaba,Aphanotorulus_emarginatus,Stegophilus_sp,Steindachnerina_amazonica,Sternopygus_macrurus,Sturisoma_aff_nigrirostrum,Synbranchus_marmoratus,Tetragonopterus_chalceus,Tetragnopterus_sp,Thayeria_boehlkei,Thoracocharax_cf_stellatus
P0971,-15.74185373,-52.62227507,Corrego 21,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0972,-15.75594019,-52.58935291,Corrego 22,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,1,0,0,2,0,0,0,0,27,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0973,-15.8056668,-52.42986835,Corrego 23,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0974,-15.97608951,-52.3752345,Corrego 24,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0975,-15.96025229,-52.36101308,Corrego 25,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0976,-15.90117189,-52.48340875,Corrego 26,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,88,0,0,0,0,0,4,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0977,-15.89456288,-52.47001911,Corrego 27,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,107,0,0,0,0,2,0,0,2,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0978,-15.94042403,-52.42811823,Corrego 28,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0979,-15.86024775,-52.20240227,Corrego 29,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0980,-15.93253827,-52.02101279,Corrego 30,fish_Cerrado_MT,158,NA,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,1,0,0,0,0,0,1,1,0,0,0,0,0,14,0,0,1,0,0,3,0,2,3,0,0,0,0,0,0,0,4,1,0,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
P0981,-15.95347083,-52.13151695,Corrego 31,fish_Cerrado_MT,158,NA,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,3,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,3,0,0,1,0,0,0,0,0,0,0,0,0,1,14,0,0,3,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,68,0,0,18,0,6,75,0,0,0,0,0,0,3,0,1,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
P0982,-15.78437415,-52.36235896,Corrego 32,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,40,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0983,-15.89842086,-52.18840224,Corrego 33,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35,0,0,0,0,0,0,0,0,2,58,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,11,0,3,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,4,0,0,0,0,0,158,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0984,-15.98448182,-52.28199379,Corrego 34,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,6,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
P0985,-15.94135769,-52.25430317,Corrego 35,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,5,0,0,0,0,0,46,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,10,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,11,0,0,1,0,0,0,4,0,0,0,0,0,274,0,0,0,1,0,0,6,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P0986,-14.67945,-52.364883,Corrego 36,fish_Cerrado_MT,158,NA,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,35,51,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,2,0,0,1,0,0,0,0
P0987,-14.781834,-52.607383,Corrego 37,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,20,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,5,0,0,0,3,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0988,-14.74045,-52.590283,Corrego 38,fish_Cerrado_MT,158,NA,0,0,1,25,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,5,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0
P0989,-14.733197,-52.568117,Corrego 39,fish_Cerrado_MT,158,NA,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,4,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,6,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0990,-14.693284,-52.453334,Corrego 40,fish_Cerrado_MT,158,NA,0,0,0,6,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,0,0,0,0,2,0,0,5,2,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0991,-14.752623,-52.691805,Corrego 41,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0992,-14.73295,-52.625617,Corrego 42,fish_Cerrado_MT,158,NA,0,0,0,30,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
P0993,-14.648133,-52.47395,Corrego 43,fish_Cerrado_MT,158,NA,0,0,26,43,0,0,0,0,0,0,0,0,0,6,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,1,27,0,0,0,0,1,0,0,0,17,0,0,0,0,0,5,0,0,2,27,90,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,72,0,0,1,0,0,1,0,0,0,0
P0994,-14.7001,-52.693417,Corrego 44,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,6,2,2,0,0,0,0,0,0,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
P0995,-14.890574,-52.312924,Corrego 45,fish_Cerrado_MT,158,NA,1,0,0,0,1,1,0,0,0,0,3,1,0,0,0,59,6,29,0,0,0,0,0,0,2,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,4,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,21,25,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,4,0,0,0,0,0,0
P0996,-14.830833,-52.296467,Corrego 46,fish_Cerrado_MT,158,NA,0,0,0,17,0,0,0,0,0,0,4,8,2,0,0,2,3,7,1,0,0,0,0,0,0,0,0,0,1,0,38,0,1,1,1,1,0,4,2,1,0,0,0,0,1,0,0,1,6,0,0,17,3,0,12,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,15,0,1,4,0,0,0,0,0,0,0,0,19,0,0,1,0,0,0
P0997,-14.805817,-52.3032,Corrego 47,fish_Cerrado_MT,158,NA,0,0,0,5,0,0,0,0,0,0,13,0,0,0,0,2,2,0,1,0,0,0,0,3,1,0,1,1,0,0,36,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,2,0,2,0,4,0,0,4,1,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,5,0,0,0,0,174,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,0,4,0,0,1,1,0,1,10,0,0,3,0,0,0,1,49,0,0,1,2,0,0,0,0,0,0
P0998,-14.624383,-52.381017,Corrego 48,fish_Cerrado_MT,158,NA,1,0,0,33,0,0,0,0,0,0,0,1,0,0,0,2,24,6,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,29,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
P0999,-15.0902,-52.2174,Corrego 49,fish_Cerrado_MT,158,NA,0,0,1,20,0,1,0,0,0,0,0,3,0,0,0,10,1,0,0,0,0,0,0,5,1,0,0,0,3,0,6,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,6,8,0,0,0,1,28,0,0,1,1,2,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,6,0,0,0,0,0,2,4,0,1,0,0,0,0,4,0,0,0,3,1,0,0,0,0,0
P1000,-15.179733,-52.181483,Corrego 50,fish_Cerrado_MT,158,NA,0,1,12,5,0,0,0,0,0,0,0,1,0,1,0,19,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,3,0,0,21,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,1,0,5,0,0,0,0,0,0,7,16,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
