ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Ancistrus_sp,Ancistrus_multispinnis,Apareiodon_vittatus ,Astyanax_ribeirae,Astyanax_laticeps,Astyanax_bimaculatus,Astyanax_paranae,Astyanax_lacustris,Astyanax_sp,Astyanax_bifasciatus,Astyanax_minor,Astyanax_serratus,Astyanax_dissimilis,Astyanax_totae,Astyanax_ita,Astyanax_gymnodontus,Bryconamericus_ikaa,Bryconamericus_sp,Bryconamericus_ikaa,Bryconamericus_stramineus,Bryconamericus_pyahu,Callichthys_callichthys,Cichlasoma_paranaense,Characidium_lanei,Characidium_pterostictum,Cnesterodon_hypselurus,Corydoras_ehrhardti,Corydoras_longipinnis,Crenicichla_iguassuensis,Crenicichla_haroldoi,Cyphocharax_sp,Deuterodon_langei,Geophagus_brasiliensis,Glandulocauda_caerulea,Gymnotus_inaequilabitaus,Kronichthys_lacerta,Heptapterus_stewarti,Hisonotus_leucofrenatus,Hisonotus_sp,Hollandichthys_multifasciatus,Hoplias_sp,Hyphessobrycon_reticulatus,Hyphessobrycon_itaparicensis,Hyphessobrycon_bifasciatus,Hypostomus_ancistroides,Hypostomus_derbyi,Hypostomus_sp,Jenynsia_eigenmanni,Melanorivulus_apiamici,Mimagoniates_microlepis,Misgurnus_anguillicaudatus,Oligosarcus_longirostris,Phallotorynus_pankalos,Pareiorhaphis_steindachneri,Pareiorhaphis_parmula,Phalloceros_spiloura,Phalloceros harpagos,Phalloceros_sp,Piabina_argentea,Pimelodella_pappenheimi,Pimelodella_sp,Prochilodus_lineatus,Poecilia_vivipara,Pseudotothyris_obtusa,Pyrhulina_australis,Rhamdia_quelen,Rhamdia_branneri,Rhamdia_voulezi,Rhamdioglanis_frenatus,Rhamdiopsis_moreirai,Rineloricaria_lima,Rineloricaria_sp,Rineloricaria_maacki,Rineloricaria_langei,Rivulus_sp,Scleromystax_barbatus,Serrapinus_notomelas,Synbranchus_sp,Trichomycterus_castroi,Trichomycterus_naipi,Trichomycterus_davisi,Trichomycterus_plumbeus,Trichomycterus_sp
P1045,-26.285397,-50.623719,Rio_da_Areia,Fish_MAtlantica_PR,170,90,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
P1046,-25.468536,-52.116438,Rio_da_Lage,Fish_MAtlantica_PR,170,55,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1047,-26.133528,-50.85945,Rio_Vargem_Grande,Fish_MAtlantica_PR,170,25,0,0,0,0,0,0,0,0,0,1,1,2,58,0,0,0,1,0,0,0,0,0,0,0,0,0,5,68,0,0,0,0,0,0,0,0,0,0,72,0,0,6,0,0,0,0,0,0,0,29,0,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,24,8,0
P1048,-25.538502,-49.714701,Rio_das_Mortes,Fish_MAtlantica_PR,170,80,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1049,-25.548887,-49.807681,Rio_dos_Papagaios,Fish_MAtlantica_PR,170,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
P1050,-26.154086,-50.282479,Rio_dos_Pardos,Fish_MAtlantica_PR,170,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1051,-26.193789,-50.256095,Rio_Preto,Fish_MAtlantica_PR,170,50,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P1052,-26.219554,-50.356426,Rio_Forquilhinha,Fish_MAtlantica_PR,170,10,0,0,0,0,0,0,0,0,0,0,1,34,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,25,0,0,17,0,0,0,0,0,0,0,130,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
P1053,-25.444809,-49.120826,Nascente_Irai,Fish_MAtlantica_PR,170,5,0,0,0,0,0,0,0,0,0,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,15,0,0,0,0,0,0,0,0,0
P1054,-25.388807,-49.099364,Rio_Irai,Fish_MAtlantica_PR,170,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1055,-25.583689,-49.644379,Rio_Itaqui,Fish_MAtlantica_PR,170,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1056,-25.905154,-51.596102,Rio_Lajeado,Fish_MAtlantica_PR,170,90,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1057,-26.325166,-50.018271,Rio_Leonardo,Fish_MAtlantica_PR,170,45,0,0,0,0,0,0,0,0,0,1,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,5,0,13,5,0
P1058,-25.585993,-49.240886,Arroio_da_Cruz,Fish_MAtlantica_PR,170,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1059,-25.635452,-49.085607,Rio_Miringuava,Fish_MAtlantica_PR,170,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1060,-25.624521,-49.085004,Riacho_Miringuava,Fish_MAtlantica_PR,170,75,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1061,-25.640821,-49.072376,Rio_Tacarova,Fish_MAtlantica_PR,170,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1062,-25.843915,-49.727502,Rio_Passa_Tres,Fish_MAtlantica_PR,170,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,0
P1063,-26.080567,-49.597577,Rio_dos_Patos,Fish_MAtlantica_PR,170,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,0,0,0,0,0,0,0,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0
P1064,-25.407664,-49.160276,Rio_Palmital,Fish_MAtlantica_PR,170,5,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
P1065,-25.48978,-49.090468,Rio_Piraquara,Fish_MAtlantica_PR,170,65,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
P1066,-25.496941,-48.999294,Rio_Carvalho,Fish_MAtlantica_PR,170,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1067,-25.497185,-48.998603,Rio_Piraquara,Fish_MAtlantica_PR,170,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1068,-26.119217,-49.462212,Rio_Poco_Frio,Fish_MAtlantica_PR,170,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0
P1069,-25.595365,-53.486322,Rio_Quieto,Fish_MAtlantica_PR,170,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1070,-25.83688,-49.135434,Rio_Taboado,Fish_MAtlantica_PR,170,50,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,136,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P1071,-25.491373,-49.653604,Rio Tortuoso,Fish_MAtlantica_PR,170,60,0,0,0,0,0,0,0,0,0,0,0,30,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1072,-25.979656,-49.371372,Rio_Tres_Barras,Fish_MAtlantica_PR,170,75,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1073,-25.653984,-49.572053,Rio_Turvo,Fish_MAtlantica_PR,170,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,0,0
P1074,-25.464409,-49.453551,Rio_Verde,Fish_MAtlantica_PR,170,40,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
P1075,-26.189227,-50.308185,Afluente_rio_Negro,Fish_MAtlantica_PR,170,50,0,0,0,0,0,0,0,0,0,0,0,1,63,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1076,-26.159521,-50.238443,Arroio_do_Paiol,Fish_MAtlantica_PR,170,60,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1077,-26.112772,-49.455536,Rio_dos_Pardos,Fish_MAtlantica_PR,170,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
P1078,-26.173485,-49.39709,Mato_Preto,Fish_MAtlantica_PR,170,55,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1079,-26.158883,-49.362218,Rio_Poco_Frio,Fish_MAtlantica_PR,170,55,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
P1080,-24.137075,-50.892287,Riacho_rio Tibagi,Fish_MAtlantica_PR,170,90,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P1081,-25.289828,-48.678691,Rio_do_Turvo,Fish_MAtlantica_PR,170,15,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
P1082,-25.256541,-48.676486,Rio_Gervasio,Fish_MAtlantica_PR,170,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,28,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,48,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,4,0,0,0,0,0,0,0
P1083,-25.25622,-48.67675,Rio_Dominguinhos,Fish_MAtlantica_PR,170,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
P1084,-25.247684,-48.532812,Rio_Trancado,Fish_MAtlantica_PR,170,10,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
P1085,-23.667222,-55.205556,Corrego_Mirim,Fish_MAtlantica_PR,170,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,9,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
