ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Apareiodon_ibitiensis,Apareiodon_piracicabae,Astyanax_lacustris,Astyanax_bockmanni,Astyanax_fasciatus,Astyanax_paranae,Astyanax_sp1,Astyanax_sp2,Bryconamericus_iheringii,Bryconamericus_turiuba,Cetopsorhamdia_iheringi,Characidium_zebra,Characidium_gomesi,Corumbataia_cuestae,Corydoras_aeneus,Corydoras_flaveolus,Eigenmania_trilineata,Geophagus_brasiliensis,Gymnotus_sylvius,Hisonotus_francirochai,Hoplias_malabaricus,Hyphessobrycon_anisitsi,Hyphessobrycon_bifasciatus,Hypostomus_ancistroides,Hypostomus_nigromaculatus,Hypostomus_strigaticeps,Hypostomus_sp,Imparfinis_borodini,Imparfinis_mirini,Neoplecostomus_paranaensis,Oligosarcus_paranaensis,Oreochromis_niloticus,Parodon_nasus,Phalloceros_harpagos,Piabina_argentea,Pimelodella_brasiliensis,Poecilia_reticulata,Rhamdia_quelen,Rineloricaria_latirostris,Serrapinnus_heterodon,Serrapinnus_notomelas,Serrapinnus_sp,Steindachnerina_insculpta,Synbranchus_marmoratus,Trichomycterus_sp
P1281,-22.527463,-47.612026,Corumbatai_01,Fish_MAtlantica_SP2,170,67.75585697,0,0,17,91,4,9,0,0,126,0,9,24,0,0,0,0,0,21,5,0,0,0,0,2,0,1,0,0,46,0,0,0,18,4,0,0,0,2,0,0,0,0,0,0,3
P1282,-22.51533,-47.620407,Corumbatai_02,Fish_MAtlantica_SP2,170,84.17492148,0,0,0,2,0,1,0,0,13,0,1,1,0,0,0,9,0,1,0,0,0,0,0,4,0,1,0,0,29,0,0,0,0,0,0,8,2,3,0,0,0,0,0,0,0
P1283,-22.509508,-47.593578,Corumbatai_03,Fish_MAtlantica_SP2,170,89.08521584,0,0,0,3,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,25,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
P1284,-22.51904,-47.590851,Corumbatai_04,Fish_MAtlantica_SP2,170,89.53229399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1285,-22.507636,-47.574111,Corumbatai_05,Fish_MAtlantica_SP2,170,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1286,-22.536674,-47.602385,Corumbatai_06,Fish_MAtlantica_SP2,170,100,0,0,0,0,0,6,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1287,-22.128492,-47.703503,Corumbatai_07,Fish_MAtlantica_SP2,170,73.8317757,0,0,0,0,0,4,0,0,0,0,0,0,0,94,0,0,0,0,0,0,1,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,6,3,0,0,0,0,0,1,64
P1288,-22.129475,-47.703017,Corumbatai_08,Fish_MAtlantica_SP2,170,52.11115121,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,66
P1289,-22.134517,-47.728228,Corumbatai_09,Fish_MAtlantica_SP2,170,67.59259259,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7
P1290,-22.15142,-47.700345,Corumbatai_10,Fish_MAtlantica_SP2,170,59.4997339,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1291,-22.132004,-47.689317,Corumbatai_11,Fish_MAtlantica_SP2,170,59.35306393,0,0,0,0,0,3,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
P1292,-22.113722,-47.702513,Corumbatai_12,Fish_MAtlantica_SP2,170,40.13539652,0,0,0,0,0,8,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,52
P1293,-22.11396,-47.700668,Corumbatai_13,Fish_MAtlantica_SP2,170,62.68221574,0,0,0,0,0,2,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
P1294,-22.155779,-47.632514,Corumbatai_14,Fish_MAtlantica_SP2,170,51.10275689,0,0,0,0,0,3,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
P1295,-22.138027,-47.705545,Corumbatai_15,Fish_MAtlantica_SP2,170,96.20253165,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1296,-22.155769,-47.633114,Corumbatai_16,Fish_MAtlantica_SP2,170,42.69810085,0,0,0,0,0,2,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
P1297,-22.152586,-47.604796,Corumbatai_17,Fish_MAtlantica_SP2,170,66.12903226,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1298,-22.148003,-47.614238,Corumbatai_18,Fish_MAtlantica_SP2,170,44.32132964,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
P1299,-22.164807,-47.705786,Corumbatai_19,Fish_MAtlantica_SP2,170,64.53900709,0,0,0,0,0,11,0,0,0,0,2,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1300,-22.165054,-47.714242,Corumbatai_20,Fish_MAtlantica_SP2,170,70,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
P1301,-22.169075,-47.638199,Corumbatai_21,Fish_MAtlantica_SP2,170,52.77337559,0,0,3,0,0,194,0,0,0,0,4,0,0,71,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,51
P1302,-22.259305,-47.660322,Corumbatai_22,Fish_MAtlantica_SP2,170,59.06593407,0,0,1,0,0,2,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,1,0,1,0,0,0,0,58,0,5,0,0,0,0,0,2,1,0,0,0,0,0,0,2
P1303,-22.264122,-47.68139,Corumbatai_23,Fish_MAtlantica_SP2,170,64.86825596,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1304,-22.251638,-47.662106,Corumbatai_24,Fish_MAtlantica_SP2,170,29.14798206,0,0,0,0,0,2,0,0,0,0,0,2,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13
P1305,-22.298801,-47.67338,Corumbatai_25,Fish_MAtlantica_SP2,170,59.93634099,0,0,3,0,0,3,0,0,0,0,0,2,0,0,0,0,0,3,6,0,1,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0
P1306,-22.297195,-47.674406,Corumbatai_26,Fish_MAtlantica_SP2,170,35.91304348,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
P1307,-22.305968,-47.67503,Corumbatai_27,Fish_MAtlantica_SP2,170,78.34101382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0
P1308,-22.243798,-47.673401,Corumbatai_28,Fish_MAtlantica_SP2,170,100,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1309,-22.243734,-47.673419,Corumbatai_29,Fish_MAtlantica_SP2,170,100,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P1310,-22.352935,-47.797375,Corumbatai_30,Fish_MAtlantica_SP2,170,50.52832404,4,0,9,0,0,1,0,0,11,0,4,2,0,75,0,0,0,1,0,0,0,0,0,4,2,12,0,5,15,9,0,0,5,0,0,0,0,0,2,0,0,0,0,0,13
P1311,-22.340545,-47.803463,Corumbatai_31,Fish_MAtlantica_SP2,170,50.59625213,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P1312,-22.342315,-47.799249,Corumbatai_32,Fish_MAtlantica_SP2,170,37.78234086,0,0,0,0,0,18,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1313,-22.36334,-47.891996,Corumbatai_33,Fish_MAtlantica_SP2,170,68.48290598,4,0,0,5,0,9,0,7,12,0,2,3,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,13,6,0,0,0,0,221,0,0,0,6,0,2,0,0,0,0,2
P1314,-22.362523,-47.891213,Corumbatai_34,Fish_MAtlantica_SP2,170,66.66666667,0,0,0,1,0,18,0,26,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,117,0,0,0,1,0,2,0,0,0,0,0
P1315,-22.361712,-47.884597,Corumbatai_35,Fish_MAtlantica_SP2,170,77.29965157,7,0,0,3,0,1,2,0,6,0,8,0,0,5,0,1,0,0,0,0,0,0,0,3,1,0,0,12,2,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,45
P1316,-22.285629,-47.831464,Corumbatai_36,Fish_MAtlantica_SP2,170,33.0802603,1,0,3,0,0,35,0,0,0,0,1,11,0,137,0,0,28,21,18,18,0,0,0,5,0,0,0,0,44,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0
P1317,-22.285449,-47.831412,Corumbatai_37,Fish_MAtlantica_SP2,170,36.04060914,0,0,0,0,0,3,0,0,0,0,1,2,0,17,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,24,2,0,0,1,0,0,0,0,0,0,14
P1318,-22.378618,-47.852511,Corumbatai_38,Fish_MAtlantica_SP2,170,83.942226,3,0,0,1,0,0,0,0,0,1,7,84,0,61,0,0,0,0,0,0,0,0,0,1,1,0,0,4,28,0,0,0,0,49,0,0,0,2,0,0,0,0,0,0,41
P1319,-22.360013,-47.835683,Corumbatai_39,Fish_MAtlantica_SP2,170,78.53658537,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1320,-22.399225,-47.84736,Corumbatai_40,Fish_MAtlantica_SP2,170,100,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
P1321,-22.4003,-47.841179,Corumbatai_41,Fish_MAtlantica_SP2,170,92.99610895,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,88,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0
P1322,-22.410102,-47.883985,Corumbatai_42,Fish_MAtlantica_SP2,170,97.32142857,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
P1323,-22.401036,-47.866956,Corumbatai_43,Fish_MAtlantica_SP2,170,100,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1324,-22.516729,-47.75498,Corumbatai_44,Fish_MAtlantica_SP2,170,60.65334998,0,0,0,0,0,0,0,0,8,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1325,-22.402167,-47.810843,Corumbatai_45,Fish_MAtlantica_SP2,170,67.81818182,0,0,0,0,0,17,0,0,0,0,23,61,0,26,0,0,0,0,4,0,0,0,0,4,2,5,0,0,6,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,58
P1326,-22.420712,-47.79078,Corumbatai_46,Fish_MAtlantica_SP2,170,52.75590551,2,0,0,1,0,0,0,0,3,0,3,95,0,36,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,9,6,0,0,0,2,0,0,0,0,0,0,98
P1327,-22.480776,-47.774442,Corumbatai_47,Fish_MAtlantica_SP2,170,52.61066969,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,15
P1328,-22.480352,-47.773394,Corumbatai_48,Fish_MAtlantica_SP2,170,26.10294118,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,5,0,0,0,0,0,0,0,1
P1329,-22.498779,-47.771605,Corumbatai_49,Fish_MAtlantica_SP2,170,50.34965035,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,1
P1330,-22.499899,-47.75998,Corumbatai_50,Fish_MAtlantica_SP2,170,46.37096774,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11
P1331,-22.49166,-47.772434,Corumbatai_51,Fish_MAtlantica_SP2,170,57.88381743,0,0,0,0,0,11,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,19,0,0,7,0,0,0,0,1
P1332,-22.457801,-47.7061,Corumbatai_52,Fish_MAtlantica_SP2,170,68.10207337,0,0,1,8,0,0,0,0,0,0,1,1,0,1,1,0,0,1,8,0,3,0,0,1,0,0,0,0,8,0,0,0,0,1,7,0,4,0,0,1,3,0,0,0,0
P1333,-22.462053,-47.688817,Corumbatai_53,Fish_MAtlantica_SP2,170,77.04918033,0,0,1,5,0,2,0,0,1,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3
P1334,-22.517961,-47.688538,Corumbatai_54,Fish_MAtlantica_SP2,170,85.24590164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P1335,-22.511478,-47.686994,Corumbatai_55,Fish_MAtlantica_SP2,170,62.14196762,0,0,4,0,0,0,0,0,13,0,0,0,0,0,2,0,0,3,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
P1336,-22.498395,-47.675802,Corumbatai_56,Fish_MAtlantica_SP2,170,66.51982379,0,0,0,8,0,1,0,0,4,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,1
P1337,-22.241733,-47.514887,Corumbatai_57,Fish_MAtlantica_SP2,170,70.22900763,0,0,2,0,0,3,0,0,4,0,0,0,0,0,4,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
P1338,-22.239135,-47.516528,Corumbatai_58,Fish_MAtlantica_SP2,170,50.86206897,0,0,6,0,0,6,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P1339,-22.256253,-47.548307,Corumbatai_59,Fish_MAtlantica_SP2,170,78.42384348,0,0,14,4,7,12,0,0,1,3,0,0,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,5,0,0,0,2,0,16,0,4,4,0,3,0,0,0,0,3
P1340,-22.378306,-47.779761,Corumbatai_60,Fish_MAtlantica_SP2,170,65.35528596,2,0,4,5,0,1,0,0,7,1,15,58,0,6,0,1,0,3,0,0,0,0,0,0,3,13,1,3,4,0,0,0,0,0,4,1,17,2,1,0,0,4,0,0,24
P1341,-22.221202,-47.525458,Corumbatai_61,Fish_MAtlantica_SP2,170,68.72246696,0,0,38,21,22,113,0,0,15,0,0,0,0,1,0,0,0,5,0,0,0,0,2,1,0,0,0,0,6,0,0,1,0,16,0,0,0,1,0,59,0,0,0,0,8
P1342,-22.278197,-47.594643,Corumbatai_62,Fish_MAtlantica_SP2,170,64.78248822,0,0,0,2,3,17,0,0,16,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,4,2,0,2,0,0
P1343,-22.191033,-47.608316,Corumbatai_63,Fish_MAtlantica_SP2,170,85.83333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P1344,-22.274352,-47.609772,Corumbatai_64,Fish_MAtlantica_SP2,170,55.06859756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,0,0,0,0
P1345,-22.298929,-47.594376,Corumbatai_65,Fish_MAtlantica_SP2,170,73.25,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0
P1346,-22.286253,-47.621963,Corumbatai_66,Fish_MAtlantica_SP2,170,34.07079646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2
P1347,-22.276063,-47.577319,Corumbatai_67,Fish_MAtlantica_SP2,170,71.46892655,2,0,1,3,0,24,0,0,0,0,0,5,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,22
P1348,-22.195299,-47.575716,Corumbatai_68,Fish_MAtlantica_SP2,170,56.20155039,0,0,0,0,0,11,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
P1349,-22.195219,-47.59549,Corumbatai_69,Fish_MAtlantica_SP2,170,44.55128205,0,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12
P1350,-22.214797,-47.608697,Corumbatai_70,Fish_MAtlantica_SP2,170,59.72482802,0,1,2,0,3,2,0,0,1,0,0,15,0,11,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0
P1351,-22.177084,-47.584621,Corumbatai_71,Fish_MAtlantica_SP2,170,42.21867518,1,0,0,0,0,7,0,0,4,0,1,3,0,22,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,25
P1352,-22.182587,-47.581988,Corumbatai_72,Fish_MAtlantica_SP2,170,71.08559499,0,0,0,0,0,11,0,0,9,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
P1353,-22.517879,-47.514367,Corumbatai_73,Fish_MAtlantica_SP2,170,39.39393939,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1354,-22.51389,-47.543018,Corumbatai_74,Fish_MAtlantica_SP2,170,84.45945946,0,0,9,0,0,5,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,4,0,3,0,0,18,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0
P1355,-22.511094,-47.562798,Corumbatai_75,Fish_MAtlantica_SP2,170,100,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
