Site;Acanthodoras_cataphractus;Acaronia_nassa;Acestrorhynchus_falcatus;Aequidens_epae;Aequidens_tetramerus;Ancistrus_sp_bola;Ancistrus_sp_dois_bigodes;Apistogramma_aff_regani;Apistogramma_agassizii;Apistogramma_caetei;Apistogramma_taeniata;Apteronotus_albifrons;Astyanax_cf_bimaculatus;Astyanax_maculisquamis;Bario_steindachneri;Batrochoglanis_raninus;Brachyhypopomus_beebei;Brachyhypopomus_brevirostris;Brachyglanis_microphthalmus;Brachyhypopomus_sp_electropomus;Brachyhypopomus_sp_regani;Brachyhypopomus_sp_royeroi;Bryconops_caudomaculatus;Bryconops_melanurus;Bunocephalus_cf_amaurus;Bunocephalus_coracoideus;Callichthys_callichthys;Characidium_aff_pteroides;Characidium_cf_etheostoma;Charax_leticiae;Cichla_kelberi;Copella_arnoldi;Copella_nigrofasciata;Copella_sp_pyrr_;Corydoras_julii;Corydoras_sp_C24;Crenicichla_aff_lepidota;Crenicichla_aff_menezesi;Creagrutus_ignotus;Crenicichla_inpa;Crenicichla_johanna;Crenuchus_spilurus;Crenicichla_strigata;Curimatopsis_macrolepis;Cyphocharax_gouldingi;Denticetopsis_seducta;Eigenmannia_aff_trilineata;Erythrinus_erythrinus;Farlowella_platorynchus;Farlowella_schreitmuelleri;Gasteropelecus_sternicla;Geophagus_altifrons;Gladioglanis_conquistador;Gymnotus_carapo;Gymnotus_coropinae;Gymnorhamphichthys_petiti;Gymnocorymbus_thayeri;Helogenes_marmoratus;Hemiodontichthys_acipenserinus;Hemigrammus_bellottii;Hemigrammus_guyanensis;Hemigrammus_levis;Hemigrammus_ocellifer;Hemigrammus_rhodostomus;Hemigrammus_rodwayi;Hemigrammus_sp_geisleri;Hemigrammus_sp_prata;Hemigrammus_stictus;Hemigrammus_vorderwinkleri;Heros_notatus;Hoplias_curupira;Hoplias_malabaricus;Hoplerythrinus_unitaeniatus;Hypostomus_cf_cochliodon;Hyphessobrycon_copelandi;Hyphessobrycon_heterorhabdus;Hypopygus_lepturus;Hyphessobrycon_sp_túlio;Hypselecara_temporalis;Iguanodectes_rachovii;Iguanodectes_variatus;Imparfinis_sp_linha_continua;Imparfinis_stictonotus;Ituglanis_amazonicus;Jupiaba_anteroides;Knodus_cf_victoriae;Knodus_savannensis;Knodus_spn_anal_longa;Laetacara_curviceps;Leporinus_friderici;Mastiglanis_asopos;Megalechis_picta;Melanocharacidium_dispilomma;Mesonauta_festivus;Microsternarchus_bilineatus;Microschemobrycon_geisleri;Microcharacidium_weitzmani;Moenkhausia_celibela;Moenkhausia_collettii;Moenkhausia_conspicua;Moenkhausia_comma;Moenkhausia_oligolepis;Moenkhausia_sp_lepidura_curta;Myloplus_rubripinnis;Nannostomus_beckfordi;Nannostomus_eques;Nannostomus_marginatus;Nannostomus_nitidus;Nannacara_taenia;Nannostomus_trifasciatus;Otocinclus_hoppei;Parotocinclus_sp;Parotocinclus_sp_bicudinho;Phenacogaster_cf_pectinatus;Phenacogaster_cf_wayana;Pimelodella_sp_serra_forte;Pimelodella_sp_sem_serra;Poptella_brevispina;Poptella_compressa;Potamorrhaphis_eigenmanni;Pristella_maxillaris;Pyrrhulina_aff_brevis;Pyrrhulina_zigzag;Rhamphichthys_marmoratus;Rhamdia_muelleri;Rhamdia_quelen;Rineloricaria_sp_2_madeira_;Rivulus_cf.urophthalmus;Rivulus_dibaphus;Satanoperca_jurupari;Serrapinnus_aff_piaba;Serrasalmus_rhombeus;Serrasalmus_sp_robertsoni;Steindachnerina_amazonica;Steatogenys_duidae;Sternopygus_macrurus;Synbranchus_madeirae;Synbranchus_sp_pintado;Tatia_aff_dunni;Tatia_intermedia;Tetranematichthys_wallacei;Tometes_sp;Trachelyopterus_galeatus;Trichomycterus_hasemani;Riq
P0057;0;0;2;0;2;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;159;0;0;0;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
P0060;0;0;0;0;5;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;50;3;0;0;0;0;4;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;74;0;0;0;0;0;0;0;0;0;0;110;0;0;0;36;0;0;0;0;0;0;0;0;0;7;12;0;0;0;0;0;3;0;0;0;19;19;80;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;18
P0066;0;0;0;0;11;0;0;13;0;0;0;0;0;0;0;0;0;1;0;0;2;3;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;8;0;0;0;0;0;3;10;3;0;5;0;0;0;0;3;0;0;0;0;0;0;0;0;3;3;0;0;159;0;0;0;6;0;0;0;4;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
P0067;0;0;0;0;4;0;0;9;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;5;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;343;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;14;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
P0070;0;0;0;0;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;2;8;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;14;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;29;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10
P0071;0;0;2;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;1;0;0;8;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;2;0;7;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;22;5;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
P0072;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;55;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;71;0;0;46;0;13;0;57;0;0;0;0;2;0;0;0;5;0;0;0;3;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;5;0;0;0;0;31;5;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
P0076;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;45;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
P0077;0;0;2;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
P0086;0;0;5;0;5;5;0;0;0;43;0;0;3;0;0;5;0;0;0;0;0;0;0;60;0;0;0;0;84;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;10;0;0;16;0;5;0;12;0;0;0;0;1;0;1;0;0;0;465;311;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;5;3;5;0;65;0;0;0;0;0;0;0;0;0;2;1;0;37;0;0;8;0;0;37;0;0;0;0;0;0;0;0;4;0;8;0;1;0;0;0;1;0;0;0;0;28;0;0;14;109;1;0;5;0;11;0;0;0;0;0;0;4;0;33
P0087;0;0;0;0;11;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;8;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;11;0;0;0;0;0;6;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;13
P0088;0;0;0;0;16;0;0;0;0;6;0;0;9;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;14
P0089;1;0;1;0;13;0;0;16;2;0;0;0;0;0;0;1;0;4;0;0;0;1;1;18;0;0;0;0;3;0;0;14;0;0;0;0;0;20;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;2;5;0;9;0;0;0;0;28;0;0;0;0;0;0;1;1;0;0;0;0;15;4;0;0;24;0;0;0;20;1;0;0;0;0;2;0;1;0;0;0;0;8;0;94;0;4;4;0;0;2;1;0;0;3;31;0;0;0;2;0;5;0;0;0;1;0;10;0;0;0;2;3;13;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;32
P0093;0;0;0;0;1;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;11;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;7;0;0;0;39;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;9
P0094;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;20;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;15;0;0;0;77;0;0;0;3;0;1;0;0;0;1;5;0;3;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;8;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;16
P0096;0;0;0;0;1;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;9;4;0;0;14;0;0;103;0;0;0;191;0;0;0;0;0;0;2;0;0;0;21;3;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;48;0;7;0;0;7;0;0;18;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;7;0;0;0;0;5;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;21
P0098;0;0;0;0;1;0;0;0;0;14;0;0;0;0;0;0;1;0;0;0;1;0;10;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;6;0;0;4;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;1;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;16;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;10;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;14
P0107;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
P0111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
P0112;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;38;0;11;0;0;0;0;0;0;0;0;59;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;8
P0113;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;39;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
P0114;0;0;0;0;5;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;8;0;0;2;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;1;5;16;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
P0118;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
P0119;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;5;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
P0120;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0;0;0;0;4;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
P0121;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
P0124;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;19;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
P0126;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4
P0132;0;0;0;0;54;0;0;0;0;0;92;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;2;2;0;0;1;0;0;0;0;111;0;0;0;0;0;0;0;0;6;0;0;0;72;2;39;4;0;0;0;0;0;0;0;95;0;0;0;0;0;0;0;0;0;0;0;0;93;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
P0139;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77;12;0;0;0;5;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;9;0;0;0;0;0;0;0;3;1;0;0;0;2;0;297;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;190;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
